Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AEDZF...,1983,SERVICES: DEBIT,MILLIONS OF US$,-15822200,2013,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,6983.326,3404,Weight in kilograms,3404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ADDZF...,1983,SERVICES: CREDIT,MILLIONS OF US$,18600000,2013,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,5898.883,744,Weight in kilograms,744
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AIDZF...,1983,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-40200000,2013,"Iron or non-alloy steel; flat-rolled, width less than 600mm, painted, varnished or coated with plastics",Import,15.926,19,Weight in kilograms,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AJDZF...,1983,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,29614800,2013,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,15998.132,1701,Weight in kilograms,1701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AKDZF...,1983,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-4500000,2013,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",Import,240.74,110,Weight in kilograms,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ALDZF...,1983,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-15085200,2013,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, of free-cutting steel",Import,3753.7,1013,Weight in kilograms,1013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BADZF...,1983,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,0,2013,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,1111.11,250,Weight in kilograms,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BBDZF...,1983,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,708232.995,833904,Weight in kilograms,833904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BCDZF...,1983,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,0,2013,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,791823.282,,No Quantity,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BDDZF...,1983,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,171031.681,253883.588,Weight in kilograms,253883.588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BEDZF...,1983,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,2500000,2013,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,919852.043,1146035,Weight in kilograms,1146035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BFDZF...,1983,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; bars and rods, of free-cutting steel, cold-formed or cold-finished, n.e.c. in chapter 72",Import,3465.182,2200,Weight in kilograms,2200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BGDZF...,1983,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,0,2013,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,534.814,203,Weight in kilograms,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BHDZF...,1983,OTHER INVESTMENT ASSETS,MILLIONS OF US$,-981481,2013,"Iron or non-alloy steel; T sections, hot-rolled, hot-drawn or extruded, of a height less than 80mm",Import,1965.554,373,Weight in kilograms,373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BIDZF...,1983,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,10466700,2013,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,8687.399,797,Weight in kilograms,797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BJDZF...,1983,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,11985200,2013,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,65007.713,11583,Weight in kilograms,11583
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BKDZF...,1983,PI EQUITY SECURITIES ASSETS,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,59208.83,12727,Weight in kilograms,12727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BUDZF...,1983,OI BANKS LIAB,MILLIONS OF US$,-2944440,2013,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,14.074,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BVDZF...,1983,OI OTHER SECTORS LIAB,MILLIONS OF US$,1700000,2013,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,784.444,75,Weight in kilograms,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CADZF...,1983,NET ERRORS AND OMISSIONS,MILLIONS OF US$,2760930,2013,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,63288.826,24736,Weight in kilograms,24736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CBDZF...,1983,OVERALL BALANCE,MILLIONS OF US$,-339073,2013,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,24178.124,4307,Weight in kilograms,4307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BLDZF...,1983,PI DEBT SECURITIES ASSETS,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,11708.507,6680,Weight in kilograms,6680
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BMDZF...,1983,PI EQUITY SECURITIES LIAB,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,16019.243,5448,Weight in kilograms,5448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BNDZF...,1983,PI DEBT SECURITIES LIAB,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; wire, plated or coated with base metals (other than zinc)",Import,472.222,697,Weight in kilograms,697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BPDZF...,1983,OI GEN GOVT ASSETS,MILLIONS OF US$,0,2013,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,8722.954,4526,Weight in kilograms,4526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BQDZF...,1983,OI BANKS ASSETS,MILLIONS OF US$,-981481,2013,"Steel, stainless; ingots and other primary forms",Import,195.185,5,Weight in kilograms,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BRDZF...,1983,OI OTHER SECTORS ASSETS,MILLIONS OF US$,0,2013,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,1519.258,140,Weight in kilograms,140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BSDZF...,1983,OI MON AUTH LIAB,MILLIONS OF US$,0,2013,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",Import,3329.256,258,Weight in kilograms,258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BTDZF...,1983,OI GEN GOVT LIAB,MILLIONS OF US$,11711100,2013,"Steel, stainless; flat-rolled, width less than 600mm, n.e.c. in heading no 7220",Import,1453.332,1120,Weight in kilograms,1120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BSDZF...,1982,OI MON AUTH LIAB,MILLIONS OF US$,0,2013,"Steel, stainless; bars and rods, hot-rolled, in irregularly wound coils",Import,62159.197,84368,Weight in kilograms,84368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BRDZF...,1982,OI OTHER SECTORS ASSETS,MILLIONS OF US$,0,2013,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, of circular cross-section",Import,3146.664,115,Weight in kilograms,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BQDZF...,1982,OI BANKS ASSETS,MILLIONS OF US$,6222220,2013,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,2942.59,245,Weight in kilograms,245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BPDZF...,1982,OI GEN GOVT ASSETS,MILLIONS OF US$,0,2013,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,203.703,3,Weight in kilograms,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BNDZF...,1982,PI DEBT SECURITIES LIAB,MILLIONS OF US$,0,2013,"Steel, stainless; angles, shapes and sections",Import,3511.478,106,Weight in kilograms,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BMDZF...,1982,PI EQUITY SECURITIES LIAB,MILLIONS OF US$,0,2013,"Steel, stainless; wire",Import,116.296,22,Weight in kilograms,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BLDZF...,1982,PI DEBT SECURITIES ASSETS,MILLIONS OF US$,0,2013,"Steel, alloy; flat-rolled, width less than 600mm, n.e.c. in item no. 7226.9",Import,2004.072,117,Weight in kilograms,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BKDZF...,1982,PI EQUITY SECURITIES ASSETS,MILLIONS OF US$,0,2013,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,304578.214,337448,Weight in kilograms,337448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CBDZF...,1982,OVERALL BALANCE,MILLIONS OF US$,-2001680,2013,"Steel, alloy; bars and rods, of high speed steel",Import,475.555,163,Weight in kilograms,163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CADZF...,1982,NET ERRORS AND OMISSIONS,MILLIONS OF US$,-1309090,2013,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,139.629,5,Weight in kilograms,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BVDZF...,1982,OI OTHER SECTORS LIAB,MILLIONS OF US$,259259,2013,"Steel, alloy; angles, shapes and sections",Import,3604.811,406,Weight in kilograms,406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BUDZF...,1982,OI BANKS LIAB,MILLIONS OF US$,55555.6,2013,"Steel, alloy; angles, shapes and sections",Export,428.888,85,Weight in kilograms,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BTDZF...,1982,OI GEN GOVT LIAB,MILLIONS OF US$,8581480,2013,"Steel, alloy; angles, shapes and sections",Re-Export,428.888,85,Weight in kilograms,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BJDZF...,1982,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,17018500,2013,"Steel, alloy; wire, of silico-manganese steel",Import,121.852,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BIDZF...,1982,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,8896300,2013,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,218.889,32,Weight in kilograms,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BHDZF...,1982,OTHER INVESTMENT ASSETS,MILLIONS OF US$,6222220,2013,"Steel, alloy; wire, of materials other than silico-manganese steel",Export,53703.65,89394,Weight in kilograms,89394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BGDZF...,1982,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,0,2012,"Iron; non-alloy pig iron containing by weight more than 0.5% of phosphorus, in pigs, blocks or other primary forms",Import,9277.028,12524,Weight in kilograms,12524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BEDZF...,1982,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,1900000,2012,Ferrous waste and scrap; of cast iron,Export,370.37,4000,Weight in kilograms,4000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BFDZF...,1982,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,0,2012,Ferrous waste and scrap; of cast iron,Import,222.222,100,Weight in kilograms,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BCDZF...,1982,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,0,2012,Ferrous waste and scrap; of cast iron,Re-Export,370.37,4000,Weight in kilograms,4000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BDDZF...,1982,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2012,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,4.074,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BADZF...,1982,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,0,2012,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Import,33.333,25,Weight in kilograms,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BBDZF...,1982,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; semi-finished products of iron or non-alloy steel; containing by weight less than 0.25% of carbon, of rectangular (other than square) cross-section",Import,64.815,70,Weight in kilograms,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AKDZF...,1982,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-3300000,2012,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,561123.883,455594,Weight in kilograms,455594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ALDZF...,1982,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-17711100,2012,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,249881.232,197999,Weight in kilograms,197999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AIDZF...,1982,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-44600000,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209",Import,98681.383,77109,Weight in kilograms,77109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AJDZF...,1982,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,30188900,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,2075.553,1018,Weight in kilograms,1018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AEDZF...,1982,SERVICES: DEBIT,MILLIONS OF US$,-17374100,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,146490.224,88250,Weight in kilograms,88250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AFDZF...,1982,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-39600000,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Re-Export,74.074,25,Weight in kilograms,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AHDZF...,1982,INCOME: DEBIT,MILLIONS OF US$,-6500000,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,21568.497,12242,Weight in kilograms,12242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AGDZF...,1982,INCOME: CREDIT,MILLIONS OF US$,1500000,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Export,147.778,91,Weight in kilograms,91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ABDZF...,1982,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-59025900,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,1731.85,1011,Weight in kilograms,1011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AADZF...,1982,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,18500000,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,37.037,20,Weight in kilograms,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ACDZF...,1982,TRADE BALANCE,MILLIONS OF US$,-40525900,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Export,62105.493,28138,Weight in kilograms,28138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ADDZF...,1982,SERVICES: CREDIT,MILLIONS OF US$,18300000,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,2143.331,1929,Weight in kilograms,1929
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AEDZF...,1981,SERVICES: DEBIT,MILLIONS OF US$,-13388900,2012,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,13946.282,8515,Weight in kilograms,8515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ADDZF...,1981,SERVICES: CREDIT,MILLIONS OF US$,18700000,2012,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, 4.75mm thick or more, excluding those of item no. 7211.13",Import,2058.887,2000,Weight in kilograms,2000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AADZF...,1981,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,19000000,2012,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, less than 4.75mm thick, excluding those of item no. 7211.13",Import,3652.959,2137,Weight in kilograms,2137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ABDZF...,1981,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-56070400,2012,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,6203.698,4674,Weight in kilograms,4674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ACDZF...,1981,TRADE BALANCE,MILLIONS OF US$,-37070400,2012,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,4240.366,5572,Weight in kilograms,5572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AHDZF...,1981,INCOME: DEBIT,MILLIONS OF US$,-6300000,2012,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,1306.295,206,Weight in kilograms,206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AIDZF...,1981,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-36759300,2012,"Iron or non-alloy steel; flat-rolled, width less than 600mm, painted, varnished or coated with plastics",Import,2552.59,1532,Weight in kilograms,1532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AGDZF...,1981,INCOME: CREDIT,MILLIONS OF US$,1300000,2012,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",Import,111.852,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AFDZF...,1981,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-31759300,2012,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,21379.608,13605,Weight in kilograms,13605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AJDZF...,1981,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,25107400,2012,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",Import,17035.539,1500,Weight in kilograms,1500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878ALDZF...,1981,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-13951900,2012,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring less than 14mm in diameter",Import,836.666,1000,Weight in kilograms,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878AKDZF...,1981,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-2300000,2012,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,52.593,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BADZF...,1981,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,0,2012,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,1279721.683,1476726,Weight in kilograms,1476726
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BBDZF...,1981,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,783045.143,980959,Weight in kilograms,980959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BEDZF...,1981,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,0,2012,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,113667.294,105938,Weight in kilograms,105938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BDDZF...,1981,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,676641.175,663932,Weight in kilograms,663932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BCDZF...,1981,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,0,2012,"Iron or non-alloy steel; bars and rods, of free-cutting steel, cold-formed or cold-finished, n.e.c. in chapter 72",Import,22498.496,27991,Weight in kilograms,27991
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BFDZF...,1981,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; U, I or H sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,2764.812,3773,Weight in kilograms,3773
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BGDZF...,1981,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,0,2012,"Iron or non-alloy steel; T sections, hot-rolled, hot-drawn or extruded, of a height less than 80mm",Import,2735.182,1638,Weight in kilograms,1638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BHDZF...,1981,OTHER INVESTMENT ASSETS,MILLIONS OF US$,-1825930,2012,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,29380.711,11568,Weight in kilograms,11568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BIDZF...,1981,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,9085190,2012,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,31534.783,23303,Weight in kilograms,23303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BJDZF...,1981,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,7259260,2012,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,201.111,170,Weight in kilograms,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BKDZF...,1981,PI EQUITY SECURITIES ASSETS,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,16291.465,1680,Weight in kilograms,1680
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BUDZF...,1981,OI BANKS LIAB,MILLIONS OF US$,1470370,2012,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,60531.791,52850,Weight in kilograms,52850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BVDZF...,1981,OI OTHER SECTORS LIAB,MILLIONS OF US$,33333.3,2012,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,32889.597,19059,Weight in kilograms,19059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CADZF...,1981,NET ERRORS AND OMISSIONS,MILLIONS OF US$,2844910,2012,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,2587.034,1412,Weight in kilograms,1412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878CBDZF...,1981,OVERALL BALANCE,MILLIONS OF US$,-3847680,2012,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,12008.507,5430,Weight in kilograms,5430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BLDZF...,1981,PI DEBT SECURITIES ASSETS,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; wire, plated or coated with base metals (other than zinc)",Import,472.222,697,Weight in kilograms,697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BMDZF...,1981,PI EQUITY SECURITIES LIAB,MILLIONS OF US$,0,2012,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,14555.171,4329,Weight in kilograms,4329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BNDZF...,1981,PI DEBT SECURITIES LIAB,MILLIONS OF US$,0,2012,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,38.889,6,Weight in kilograms,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BPDZF...,1981,OI GEN GOVT ASSETS,MILLIONS OF US$,0,2012,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,37.778,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32878BQDZF...,1981,OI BANKS ASSETS,MILLIONS OF US$,-1825930,2012,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,43647.734,50034,Weight in kilograms,50034
