Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
2001,95222,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2017,100,EC dollar,1993,Western calendar year,-111698000,1999,17.1556,9704000,2000,Gross National Income (GNI),486296296.3,Exports of goods and services,1786651644,2019,"Transport, storage and communication (ISIC I)",323161949.4,1993,0,2015,All Commodities,Import,350943978.3,,No Quantity,32878BJDZF...,2008,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,220020000,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,16325.185,15141,Weight in kilograms,15141
2000,96534,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2016,100,EC dollar,1993,Western calendar year,2866400000,1998,37.2419,8211000,1999,Gross National Income (GNI),359184420.4,Imports of goods and services,1963558421,2019,Other Activities (ISIC J-P),1280307080,1992,0,2015,All Commodities,Export,33319412.61,,No Quantity,32878BSDZF...,2008,OI MON AUTH LIAB,MILLIONS OF US$,0,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,140094.815,40376,Weight in kilograms,40376
1999,98177,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2016,100,EC dollar,1993,Western calendar year,-83189000,1997,6.8415,7084000,1998,Gross National Income (GNI),334555042.6,Gross Domestic Product (GDP),3276410580,2019,Total Value Added,2601271140,1991,0,2015,All Commodities,Re-Export,2025519.456,,No Quantity,32878CADZF...,2008,NET ERRORS AND OMISSIONS,MILLIONS OF US$,11434000,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,16116.296,5675,Weight in kilograms,5675
1998,99618,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2016,100,EC dollar,1993,Western calendar year,3555000,1996,14.7939,7240000,1997,Gross National Income (GNI),307350310,Final consumption expenditure,2453440103,2018,"Agriculture, hunting, forestry, fishing (ISIC A-B)",155751279.8,1990,0,2014,All Commodities,Import,322116756,,No Quantity,32878CBDZF...,2008,OVERALL BALANCE,MILLIONS OF US$,-10854000,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,4156.667,4907,Weight in kilograms,4907
1997,100576,1.3,,Less: Compensation of employees - to the rest of the world,D.1,2016,100,EC dollar,1993,Western calendar year,86744000,1995,11.4158,7315000,1996,Gross National Income (GNI),285830579.3,Household consumption expenditure (including Non-profit institutions serving households),2078149219,2018,"Mining, Manufacturing, Utilities (ISIC C-E)",213724305.8,1989,0,2014,All Commodities,Export,36480167.59,,No Quantity,32878CBDZF...,2007,OVERALL BALANCE,MILLIONS OF US$,12926500,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,222848.148,118885,Weight in kilograms,118885
1996,100893,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2016,100,EC dollar,1993,Western calendar year,-184594000,1994,11.9805,7202000,1995,Gross National Income (GNI),267304350.4,General government final consumption expenditure,375290884,2018,Manufacturing (ISIC D),108162877.1,1988,0,2014,All Commodities,Re-Export,4049869.654,,No Quantity,32878CADZF...,2007,NET ERRORS AND OMISSIONS,MILLIONS OF US$,19701000,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,43532.593,8157,Weight in kilograms,8157
1995,100599,1.3,,Plus: Property income - from the rest of the world,D.4,2016,100,EC dollar,1993,Western calendar year,30580000,1993,28.9241,6865000,1994,Gross National Income (GNI),257196046.7,Gross capital formation,821733944,2018,Construction (ISIC F),235507030.1,1987,0,2013,All Commodities,Import,458643682.8,,No Quantity,32878BSDZF...,2007,OI MON AUTH LIAB,MILLIONS OF US$,0,2022,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, 4.75mm thick or more, excluding those of item no. 7211.13",Import,5010,2782,Weight in kilograms,2782
1994,99877,1.3,,Less:  Property income - to the rest of the world,D.4,2016,100,EC dollar,1993,Western calendar year,215174000,1992,9.7914,6834000,1993,Gross National Income (GNI),245032278.1,Gross fixed capital formation (including Acquisitions less disposals of valuables),821733944,2018,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",388110962.4,1986,0,2013,All Commodities,Export,41233728.4,,No Quantity,32878BJDZF...,2007,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,215098000,2022,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, less than 4.75mm thick, excluding those of item no. 7211.13",Import,9437.037,1963,Weight in kilograms,1963
1993,99224,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2016,100,EC dollar,1993,Western calendar year,-267782000,1991,10.9617,7102085.2,1992,Gross National Income (GNI),247866340.4,Exports of goods and services,1677438858,2018,"Transport, storage and communication (ISIC I)",321484788.1,1985,0,2013,All Commodities,Re-Export,4363922.303,,No Quantity,32878BIDZF...,2007,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-18001600,2022,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,16109.63,6833,Weight in kilograms,6833
1992,99047,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2016,100,EC dollar,1993,Western calendar year,34136000,1990,11.388,5501426.2,1991,Gross National Income (GNI),241827817.4,Imports of goods and services,1849012260,2018,Other Activities (ISIC J-P),1253880561,1984,0,2012,All Commodities,Re-Export,4443091.483,,No Quantity,32878BHDZF...,2007,OTHER INVESTMENT ASSETS,MILLIONS OF US$,59885600,2022,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,5655.556,900,Weight in kilograms,900
